,lon,lat,alt,L,B,MLT,losscone1,losscone2,pitch,SAA,att,counts,Beq
2004-09-25 04:24:48.440,22.424,-34.235,530.007,1.994,0.223,5.407,70.003,70.003,90.197,1,0,2624.0,0.039
2004-09-25 04:25:08.260,22.602,-33.007,529.953,1.94,0.224,5.459,69.897,69.897,89.918,1,0,3648.0,0.042
2004-11-09 22:30:36.980,15.303,-30.55,462.438,1.816,0.225,23.041,71.002,71.002,65.111,1,3,3392.0,0.051
2004-11-14 06:26:23.620,-102.161,33.831,447.21,2.023,0.409,23.854,65.679,70.798,75.623,0,1,592.0,0.036
2004-12-09 07:01:04.460,15.034,-26.961,472.125,1.69,0.228,7.898,69.868,69.868,87.871,1,0,6016.0,0.063
2004-12-11 12:31:11.220,-64.583,-54.513,464.293,1.937,0.269,8.59,65.817,65.817,88.444,0,0,2240.0,0.042
2004-12-12 05:42:04.380,30.069,-34.411,464.382,1.996,0.238,7.252,70.96,70.96,87.978,1,0,3648.0,0.039
2004-12-12 17:11:30.200,26.218,-29.173,472.399,1.766,0.233,18.503,70.716,70.716,86.573,1,0,3008.0,0.056
2004-12-17 05:00:18.240,29.381,-31.364,456.08,1.851,0.237,6.485,71.193,71.193,87.992,1,0,976.0,0.048
2004-12-17 05:00:23.740,29.429,-31.712,456.075,1.865,0.237,6.48,71.21,71.21,87.666,1,0,1312.0,0.047
2004-12-17 05:01:43.020,30.182,-36.727,456.185,2.111,0.24,6.403,71.055,71.055,87.246,1,0,312.0,0.033
2005-01-24 23:54:36.980,25.663,-38.906,501.977,2.226,0.231,0.38,70.282,70.282,85.327,1,1,6528.0,0.028
2005-01-25 23:25:01.960,29.215,-30.862,495.156,1.834,0.234,0.358,70.154,70.154,83.949,1,1,2240.0,0.05
2005-01-25 23:26:03.060,29.759,-34.681,499.425,2.012,0.235,0.302,70.081,70.081,85.491,1,1,1312.0,0.038
2005-02-04 21:59:31.240,30.592,-35.453,520.065,2.054,0.235,22.934,69.404,69.404,114.98,1,1,656.0,0.035
2005-02-08 21:43:17.340,26.057,-34.656,524.772,2.014,0.228,22.418,69.895,69.895,61.11,1,1,2240.0,0.038
2005-02-14 08:28:01.820,22.206,-32.148,477.085,1.889,0.227,9.292,71.119,71.119,90.581,1,0,2880.0,0.045
2005-02-16 07:31:35.260,31.301,-36.192,477.024,2.087,0.24,8.787,70.356,70.356,92.153,1,0,236.0,0.034
2005-02-16 07:32:13.880,31.676,-33.764,474.365,1.963,0.24,8.896,70.475,70.475,92.089,1,0,376.0,0.041
2005-02-17 20:41:09.360,21.463,-28.663,526.104,1.761,0.225,21.306,69.288,69.288,61.31,1,0,2240.0,0.056
2005-02-18 20:13:17.140,26.251,-28.089,525.789,1.73,0.229,21.188,69.203,69.203,75.447,1,0,8064.0,0.059
2005-02-23 19:30:32.040,27.925,-35.282,524.476,2.046,0.231,20.431,69.683,69.683,93.27,1,0,2112.0,0.036
2005-02-27 19:12:29.800,23.188,-31.37,519.402,1.864,0.225,19.96,69.953,69.953,94.375,1,0,3904.0,0.047
2005-03-01 18:17:51.140,33.459,-34.924,516.032,2.033,0.241,19.628,69.057,69.057,93.194,1,0,1056.0,0.037
2005-03-07 08:04:25.320,-21.459,-51.25,457.732,2.307,0.232,5.668,69.289,69.289,80.911,1,0,376.0,0.025
2005-03-08 06:09:06.360,11.898,-25.971,444.584,1.647,0.23,6.353,70.169,70.169,88.261,1,0,1056.0,0.068
2005-03-08 18:10:21.080,19.704,-30.823,502.979,1.838,0.224,18.764,70.248,70.248,92.28,1,0,4480.0,0.049
2005-05-14 20:14:27.260,17.246,-29.297,504.782,1.781,0.223,21.171,69.787,69.787,89.478,1,0,1312.0,0.054
2005-05-24 16:59:45.960,42.404,-41.272,495.552,2.448,0.274,18.954,67.538,67.538,87.379,0,0,132.0,0.021
2005-05-30 17:17:30.440,26.483,-36.354,475.804,2.091,0.232,18.443,71.053,71.053,92.517,1,0,1824.0,0.034
2005-06-17 03:29:43.720,28.201,-32.522,506.259,1.911,0.232,4.841,70.084,70.084,89.019,1,0,456.0,0.044
